alpha,lambda,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0,0.01,0.9162829448253754,0.896472574179113,0.8113010204081633,8.163882858167001e-4,0.002453718185850675,0.0020596132916600673
0,0.02,0.9162829448253754,0.896472574179113,0.8113010204081633,8.163882858167001e-4,0.002453718185850675,0.0020596132916600673
0,0.03,0.9162829448253754,0.896472574179113,0.8113010204081633,8.163882858167001e-4,0.002453718185850675,0.0020596132916600673
0,0.04,0.9154880250819147,0.8962452927350386,0.8093494897959184,8.495164882146703e-4,0.0024331533702431057,0.002142112016648033
0,0.05,0.9146584659943833,0.8959157306538332,0.8072767857142857,8.906121008647747e-4,0.0024339488824843005,0.002309430899541802
0,0.060000000000000005,0.9139008429710409,0.8957679957941793,0.8060331632653062,9.303980749583361e-4,0.0023484035152602123,0.0023806510415783234
0,0.06999999999999999,0.9132002405196052,0.8954952567375718,0.8047385204081633,9.68135765199954e-4,0.0024332947285602142,0.0023720074816871804
0,0.08,0.9125318825332275,0.8952793403827042,0.8035969387755102,0.0010073233222100408,0.0025924297486364235,0.0021398560739162554
0,0.09,0.9119086934359651,0.8947679538242413,0.8026913265306123,0.0010478479709626182,0.0026751563000911344,0.002083054025598726
0,0.09999999999999999,0.9113073537039663,0.894506577919692,0.8019132653061224,0.001088470760140211,0.002830745895806608,0.002095634540898947
0,0.11,0.9107282684532261,0.8941542924400933,0.8008737244897959,0.0011305309575295572,0.0029688794773757507,0.0019149386814836218
0,0.12,0.9101678476202594,0.8937679128228776,0.7999681122448979,0.0011744877876500004,0.002989385028796135,0.00161608325745071
0,0.13,0.9096212215593058,0.8934042595097783,0.7991007653061224,0.0012175670255225928,0.0029293717419584765,0.0015925371913559079
0,0.14,0.9090834773777168,0.8932678908693343,0.7983928571428571,0.0012609763075614126,0.003066321401052569,0.0015916111026151962
0,0.15000000000000002,0.9085626004635905,0.8928815117364058,0.7974489795918367,0.0013060222193120121,0.0029708458522474503,0.0013297614452801834
0,0.16,0.9080545833415367,0.8925917277095676,0.796594387755102,0.0013503786256245918,0.0029874907451414496,0.0013022156499478434
0,0.17,0.9075453210911643,0.8920632947280126,0.7958801020408164,0.0013964305696636807,0.003016238647958808,0.001166281292644046
0,0.18000000000000002,0.9070441379288464,0.8913416762157195,0.7949872448979591,0.0014435576347973675,0.003264317560426951,8.190250558547463e-4
0,0.19,0.9065537439296323,0.890665510634517,0.7941390306122449,0.001489069218717524,0.0036174711920074687,7.68091233216955e-4
0,0.2,0.9060519120968971,0.8900745779759209,0.7930357142857143,0.0015396068785151439,0.003968513396496343,7.554773827546564e-4
0,0.21000000000000002,0.9055717998393082,0.8895234153002396,0.7922512755102041,0.0015849953938161037,0.004150399196063004,7.126752754664303e-4
0,0.22,0.9050724461252126,0.8890461222336774,0.791109693877551,0.0016381426671924827,0.004326645021656446,7.78283361565182e-4
0,0.23,0.9045973524673326,0.8885801910277409,0.7900446428571428,0.001684033382726116,0.004503227833543648,9.223777761428026e-4
0,0.24000000000000002,0.9041015931885974,0.8881142603060916,0.7889732142857143,0.0017356829976881746,0.004809290178220745,0.0011575299024484888
0,0.25,0.9036246575231917,0.887421047978939,0.7878507653061224,0.0017844984804848607,0.004895883240439133,0.001216132259280898
0,0.26,0.9031355957109812,0.8869210232811019,0.7866326530612245,0.0018386464160816145,0.005010691435300767,0.0014063909932095619
0,0.27,0.9026469807870847,0.8860062045480274,0.7854591836734693,0.0018899868636214948,0.005282001279562243,0.0015545076202214338
0,0.28,0.9021668492279353,0.8853754960950709,0.7845089285714286,0.0019433572791528915,0.005469295121062761,0.001413422721561828
0,0.29000000000000004,0.9016665393926445,0.884608414158799,0.7833928571428571,0.0019998297741995923,0.005309038198469074,0.0015930159915204314
0,0.3,0.9011884397793076,0.8838186070484142,0.7825063775510205,0.0020484988588022877,0.00520473380738228,0.001543940429526714
0,0.31,0.9006995957570731,0.882903792835353,0.7814923469387756,0.002101702663431525,0.005532961119775604,0.001652419654175254
0,0.32,0.9001958601324388,0.8823867255887209,0.7805038265306122,0.0021582509573918164,0.005515881825487946,0.0019881446330418306
0,0.33,0.8997194769349679,0.8818923848076341,0.7792602040816327,0.0022057057578325242,0.005722232606208432,0.0020633127114096403
0,0.34,0.8992278219361751,0.8814207724292412,0.7781377551020409,0.0022603474574257004,0.005947034391776762,0.0020943726073925665
0,0.35000000000000003,0.8987184022530151,0.8806082349790139,0.7770663265306123,0.002318416929430572,0.00630017550746622,0.0023448235254877802
0,0.36000000000000004,0.8982360561040068,0.8799832059227943,0.7758545918367347,0.0023657387468989607,0.006313465113548106,0.0026370035973542747
0,0.37,0.8977446560376818,0.8796195500268302,0.7748086734693878,0.0024183764687588935,0.006153450305444413,0.0028133603316470236
0,0.38,0.8972354060093879,0.8792558963908729,0.7735522959183674,0.002473316149133836,0.006243953972076621,0.002748513623002237
0,0.39,0.8967353705444958,0.8785797322625318,0.7724234693877551,0.0025218857050837906,0.006259447845748513,0.0029063725242094345
0,0.4,0.8962497873584885,0.8780456189156656,0.771454081632653,0.002573628328875595,0.006301205147463463,0.00312104406523067
0,0.41000000000000003,0.8957473423959121,0.8775228683979993,0.7702168367346939,0.002625478170624216,0.006342027850419035,0.003150439198158743
0,0.42000000000000004,0.8952304745965665,0.8769148872177335,0.7689158163265306,0.0026790156835972967,0.006272303025533772,0.0031345355091183537
