alpha,lambda,Accuracy,Kappa,AccuracySD,KappaSD
0,0.01,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.02,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.03,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.04,0.8542885782258905,0.7064710088348019,0.0018760949533430508,0.0037972105571698945
0,0.05,0.8534746836077158,0.7048111467662936,0.001922518252509052,0.0038880338678592753
0,0.060000000000000005,0.8528737045563853,0.7035802565829878,0.0019154717521044798,0.003852634647025227
0,0.06999999999999999,0.8521422277564479,0.7020880712855456,0.0019738099770044786,0.003957121463672825
0,0.08,0.8514691323770713,0.7007164590621011,0.001910285046922071,0.0038348656636037594
0,0.09,0.8506792768100917,0.6991131743963335,0.0018446310606690698,0.0037088810430800294
0,0.09999999999999999,0.849975273540051,0.6976810800758092,0.0017555732466268765,0.0035266069850347207
0,0.01,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.011,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.012,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.013000000000000001,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.014,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.015,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.016,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.017,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.018000000000000002,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.019000000000000003,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.02,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.020999999999999998,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.022,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.023,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.024,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.025,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.026000000000000002,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.027000000000000003,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.028000000000000004,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.028999999999999998,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.03,0.8551745932408401,0.7082780874197715,0.0018686744544276447,0.003787364687700791
0,0.031,0.8551814615496055,0.708291677114444,0.0018752276596329265,0.003800163852291495
0,0.032,0.8551196464758821,0.7081666701354223,0.0018425563378337293,0.0037343782507054417
0,0.033,0.8549822803005755,0.7078874626993006,0.0018649985722429545,0.0037802814508416317
0,0.034,0.854858650271063,0.707635700290911,0.0018425901088892798,0.0037330642202064944
0,0.035,0.85480026949914,0.7075155284232182,0.0018055803209917124,0.0036586378945015936
0,0.036000000000000004,0.8546835074835574,0.7072791974056588,0.0017450026523201884,0.0035344074651487804
0,0.037,0.8545598768643741,0.7070272931357822,0.001766099940434141,0.0035758312949562125
0,0.038,0.8544362472476311,0.7067747970005908,0.0018421674798007892,0.00373157209501107
0,0.039,0.8543572613725109,0.7066119138144958,0.0018835892515390016,0.0038143083484132724
0,0.04,0.8542885782258905,0.7064710088348019,0.0018760949533430508,0.0037972105571698945
