mtry,splitrule,min.node.size,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,num.trees,max.depth
55,gini,3,0.93879733743907,0.9150643407511094,0.8520663265306122,7.118730760627922e-4,0.00277379486255508,7.363241019067106e-4,500,0
55,gini,5,0.9388043251687476,0.9150075191793732,0.8527359693877551,7.757591307539414e-4,0.00280493390180173,3.517784533296146e-4,500,0
55,gini,7,0.9384521109642892,0.9146665970132614,0.8525127551020408,8.146869273998133e-4,0.00256186048324504,9.567389396737164e-4,500,0
75,gini,3,0.9386946184360442,0.9157177822882022,0.8529145408163266,7.876321793984342e-4,0.00333759855413087,0.00133845029823816,500,0
75,gini,5,0.9384193585561582,0.9156495940129684,0.8528380102040817,7.01492163948475e-4,0.00276634830997709,7.495318414249542e-4,500,0
75,gini,7,0.9382981432836506,0.915183662161316,0.8526658163265306,8.066080889227603e-4,0.0029752830235856,0.00100651212532367,500,0
95,gini,3,0.9383586390933256,0.9161399303447544,0.8524314413265306,8.987628430807869e-4,0.00363368595404766,6.547351585336227e-4,500,0
95,gini,5,0.9382831214271872,0.9155814134863292,0.8530484693877551,7.766007187761625e-4,0.00321530823921555,9.057469718697728e-4,500,0
95,gini,7,0.9380656636779524,0.9151950301562456,0.8527678571428572,8.570698852918104e-4,0.0030367263146385,0.00120445416182447,500,0
30,gini,3,0.939080907705566,0.9132290237267944,0.8522002551020408,6.266885382493467e-4,0.00271824827194064,0.00119142485282332,500,0
30,gini,5,0.9390265684088168,0.913336986182098,0.8520089285714286,6.543784031619894e-4,0.00209640264366625,8.195215099423827e-4,500,0
30,gini,7,0.9388310221692276,0.9129221900482832,0.8522130102040817,8.192562310430098e-4,0.00240490888522159,0.0010819774220694,500,0
50,gini,3,0.9389383862932784,0.9149847922295404,0.8526849489795918,7.012904954669481e-4,0.00294299188494577,6.077106759985385e-4,500,0
50,gini,5,0.9387509256983394,0.91510411315546,0.8524298469387755,8.003643373920508e-4,0.00301581818265888,7.684221216281229e-4,500,0
50,gini,7,0.9385785973665144,0.914729095076012,0.8517474489795919,7.901594038184258e-4,0.00265861914308608,3.159946209652227e-4,500,0
70,gini,3,0.9386509044903196,0.9154791339792016,0.8523150510204082,7.521276150431308e-4,0.00324171908826566,0.00108526169394579,500,0
70,gini,5,0.9385891178118948,0.915445040971588,0.8527614795918367,6.458620822492097e-4,0.00292466292493391,9.434142030117752e-4,500,0
70,gini,7,0.9383759105760672,0.915439357861983,0.852327806122449,7.428464725828354e-4,0.00291732675855003,7.022549599982605e-4,500,0
30,gini,1,0.9381494850313412,0.9138654141593529,0.8508673469387755,9.29416437916708e-4,0.00215184967597193,8.5961013263154e-4,150,0
30,gini,3,0.93830374484589,0.9136154023754358,0.8508737244897959,8.284854523707256e-4,0.00164975036424773,0.00162230031367078,150,0
30,gini,5,0.9382306479215944,0.9131381076945831,0.8514349489795918,7.502045106528346e-4,0.00282410625075756,8.1765825286722e-4,150,0
30,gini,7,0.9378538755558548,0.912626720006117,0.8512372448979592,7.364322956978425e-4,0.0021345196917083,0.00120424308736799,150,0
50,gini,1,0.938310063976935,0.9154564008950652,0.8510905612244898,8.791576317183297e-4,0.0028179339437175,5.4461821265278e-4,150,0
50,gini,3,0.9380636010550512,0.9147575046511623,0.8515051020408163,5.831369822528178e-4,0.0024715006009213,0.00116584528332278,150,0
50,gini,5,0.9381027195173324,0.9147347726970294,0.8511798469387755,7.300289995788108e-4,0.00296710971679948,0.00157771898939451,150,0
50,gini,7,0.9381141024595648,0.914587043325963,0.8516454081632653,8.454897534819713e-4,0.00267985678916643,9.7755604654453e-4,150,0
70,gini,1,0.9380320237918244,0.9165359949380112,0.8512053571428572,7.43501740853018e-4,0.00240745768744012,7.0348463950212e-4,150,0
70,gini,3,0.9379356872715636,0.9152120764179088,0.8520982142857143,8.345130357684464e-4,0.00308783414873559,0.00135933127799061,150,0
70,gini,5,0.9378436771340538,0.9151382056787862,0.852219387755102,7.114839351065156e-4,0.00316868719698729,0.00100423649020488,150,0
70,gini,7,0.9377716954775428,0.915695046136914,0.8519387755102041,7.616172397248323e-4,0.00278974041299999,0.00105480529493591,150,0
5,gini,1,0.9354252137069006,0.9254057066695288,0.8199808673469388,0.00165107344757587,0.00610986214366615,0.0033991958061489,150,0
5,gini,3,0.9351995897354908,0.9236556435535964,0.8216517857142857,0.00139722359799017,0.0030627740763509,0.00541247090912728,150,0
5,gini,5,0.9350433038039174,0.9248204600262604,0.8196237244897959,0.00131817499229809,0.00720089315129448,0.00676282077774714,150,0
5,gini,7,0.9348459107181006,0.9260932331427828,0.8178316326530612,0.00171065654776309,0.00452629543389757,0.00748779897473533,150,0
10,gini,1,0.9386618587597222,0.9147518420430464,0.8475637755102041,8.871579665849338e-4,0.00430121312182237,0.00156015546716883,150,0
10,gini,3,0.938514089382456,0.9130926662249548,0.8488584183673469,8.828237467696451e-4,0.00341536538837376,0.00132581754529856,150,0
10,gini,5,0.9382890757837344,0.9135415574649608,0.8479145408163266,8.757462701416506e-4,0.00426847216999998,0.00168984042777265,150,0
10,gini,7,0.9380869977208024,0.9123880836428658,0.8483673469387755,9.64128405395438e-4,0.00350097715938457,7.520373982283259e-4,150,0
20,gini,1,0.9386025007124058,0.9128483312549102,0.8499744897959184,9.23019363098144e-4,0.00273433441417696,0.00100393268245623,150,0
20,gini,3,0.9383704826795676,0.9115243977219062,0.851843112244898,8.770911705568253e-4,0.0022483729248373,8.855385182505148e-4,150,0
20,gini,5,0.9383578811250038,0.9113993932020946,0.8518558673469387,7.613254238681309e-4,0.00214564403439051,6.359189127951424e-4,150,0
20,gini,7,0.9382749470862168,0.9112914383339564,0.8516645408163266,6.578925855093031e-4,0.00220413469896487,0.00112996994724848,150,0
5,gini,1,0.9192847850739408,0.9281103756129292,0.7357844387755103,0.00281686453750605,0.00370339864462369,0.01722095845066096,150,10
5,gini,3,0.9184544541816416,0.92584891140992,0.7394323979591837,0.00154477529743104,0.00596285981902651,0.01139394156766504,150,10
5,gini,5,0.9185493221499632,0.9261046250292112,0.7367857142857143,0.00191815436507282,0.00580434390437347,0.01968597734471306,150,10
5,gini,7,0.9189304720626408,0.9258716356154584,0.7397576530612245,0.00273565559547965,0.0036533448793661,0.01277156144657466,150,10
10,gini,1,0.929191546211352,0.9051547841352136,0.8307142857142857,0.00145232162850451,0.00581024098551792,0.00728669742516382,150,10
10,gini,3,0.9292060300754874,0.9079731044549686,0.8278380102040817,0.00138068400472207,0.00506189523969675,0.00619135891755526,150,10
10,gini,5,0.9290813734953014,0.906558267642648,0.8295599489795918,0.0014503020564171,0.00537716480454348,0.00396191722807741,150,10
10,gini,7,0.928918197961062,0.906529883573287,0.8288456632653062,0.0013532416702587,0.00501956797848365,0.00221207726762248,150,10
20,gini,1,0.9304316192284068,0.9007170902660915,0.8350829081632654,7.979732318699065e-4,0.00285783952084064,0.00293500759926028,150,10
20,gini,3,0.9312067200713358,0.9023023961522056,0.8353188775510204,7.291258606210763e-4,0.00338938347553058,0.00309135298696792,150,10
20,gini,5,0.9306000112463044,0.9008080079125932,0.8352168367346939,7.964258558252207e-4,0.00351306959923147,0.00370121930346058,150,10
20,gini,7,0.930727057612558,0.9022001143850714,0.8348660714285714,7.177261037989706e-4,0.00323269142591772,0.00344893749125224,150,10
30,gini,1,0.929923141575668,0.9032399248850628,0.8346875,5.823611726189854e-4,0.00237269817077016,0.00359875603156842,150,10
30,gini,3,0.9303053181590226,0.903291069804356,0.8347831632653061,8.413594752339138e-4,0.00302964745398784,0.00327493609967354,150,10
30,gini,5,0.9302282589884872,0.9030694635598632,0.8342793367346939,7.607283201674586e-4,0.00259322419237489,0.00337189451642452,150,10
30,gini,7,0.9302967255164136,0.9035126692688288,0.8347704081632653,8.162680809527592e-4,0.00259024206071115,0.00267273796881547,150,10
50,gini,1,0.9296311209796596,0.9066037136322896,0.8351020408163266,7.688566482841664e-4,0.00207310162011454,0.00256814247584495,150,10
50,gini,3,0.9294020009628796,0.9060809642446268,0.8354783163265306,6.225352676552777e-4,0.00296029913987566,0.00319049698430701,150,10
50,gini,5,0.9295254243873105,0.905876403616081,0.835452806122449,7.378848585174767e-4,0.00153191928684063,0.00245301621114131,150,10
50,gini,7,0.9296877135015742,0.906319611746482,0.8346683673469388,6.094312167376644e-4,0.00239635670031224,0.0033102193079024,150,10
70,gini,1,0.928985543265893,0.9079844600198614,0.8347895408163265,0.00106906014190431,0.00281680304809457,0.00281408309603446,150,10
70,gini,3,0.9290496825262512,0.9078651366725063,0.8348405612244898,8.245693108598248e-4,0.00308451085526778,0.00363888050310229,150,10
70,gini,5,0.9289072072253962,0.9079787743273916,0.8346747448979592,7.327347583994158e-4,0.00257242523060505,0.00308146938237404,150,10
70,gini,7,0.9288418550461152,0.9073537565712054,0.8350892857142858,6.131389463147607e-4,0.00271647704859276,0.00331284464486865,150,10
90,gini,1,0.9375598198270304,0.916030293587731,0.8513647959183673,7.559927873993967e-4,0.00370442194042208,0.00150792335451317,150,0
90,gini,3,0.937683407216566,0.91537117459105,0.8526977040816326,7.313870382864847e-4,0.00321812339834048,0.00171788899243433,150,0
90,gini,5,0.9374939013168426,0.914882510139548,0.8524808673469387,8.084428521241371e-4,0.00243037514530393,0.00108638544438297,150,0
90,gini,7,0.9373971721908956,0.9153825322545204,0.8517538265306123,8.075716647624743e-4,0.00253752755834817,0.00116379385146013,150,0
110,gini,1,0.9375129476164876,0.9156609561964524,0.852295918367347,8.936540968741535e-4,0.00361896509143841,0.00141442953547302,150,0
110,gini,3,0.9374654332769612,0.9153541246165188,0.8521237244897959,9.48177756628898e-4,0.00356354116942097,0.00162324021466715,150,0
110,gini,5,0.9372597568296048,0.9151154780832376,0.8521492346938776,6.893840927604072e-4,0.00338704453348273,0.00153253758583567,150,0
110,gini,7,0.9371254411610296,0.9153882258570136,0.8516071428571429,8.459457982875989e-4,0.00401391004719608,0.00223209730274213,150,0
130,gini,1,0.937349493034219,0.9156041388218712,0.8514859693877551,7.866846374910998e-4,0.00350808992974519,0.00148793199420448,150,0
130,gini,3,0.9371872174653992,0.91537116781103,0.852436224489796,7.734659558041591e-4,0.00300788603824716,0.00182605780171951,150,0
130,gini,5,0.937173379938504,0.9147120591458078,0.852423469387755,7.961547173313581e-4,0.00381975511826981,0.00136000434388622,150,0
130,gini,7,0.936992766779,0.9149791160613844,0.8521109693877551,8.003341186131257e-4,0.00350790429786307,0.00160968427582119,150,0
90,gini,1,0.9283415735528696,0.9083481160772546,0.8346173469387755,9.890243652847545e-4,0.0031927379354005,0.0038514679556124,150,10
90,gini,3,0.9280889515648124,0.9085640319478352,0.8343239795918368,7.216209024805399e-4,0.00308279052165987,0.00340800895467448,150,10
90,gini,5,0.9280659077412856,0.9085867611576742,0.8342602040816326,8.162964780914183e-4,0.00293844709287325,0.00364488339452062,150,10
90,gini,7,0.9281736802340548,0.9087856322194532,0.8346747448979592,6.368085059581525e-4,0.00302700121670642,0.00412953200046915,150,10
110,gini,1,0.9277049618153468,0.909098154173299,0.8346237244897959,7.86520098169534e-4,0.00324951717408768,0.00377862497774781,150,10
110,gini,3,0.9276366761545708,0.9091379256090752,0.8338456632653061,9.19340754376012e-4,0.00355489156588813,0.00407206757507212,150,10
110,gini,5,0.927438754964542,0.9086492719733196,0.8342920918367347,0.00111902421890115,0.00328619073330291,0.00365539950532407,150,10
110,gini,7,0.9276021677335268,0.9088083695007446,0.8347385204081633,5.427394872169841e-4,0.00347366800523564,0.00393032589865225,150,10
130,gini,1,0.9269812448401216,0.9090640626185468,0.8339413265306123,0.00109619331366548,0.0032621783924319,0.00280318578943224,150,10
130,gini,3,0.9270569615338567,0.908956103068966,0.8346619897959183,9.20060563519491e-4,0.00345797431398361,0.00344705010238024,150,10
130,gini,5,0.9268653623941004,0.908984524589866,0.8342984693877551,9.219639383614668e-4,0.00353087744559199,0.00397540692357226,150,10
130,gini,7,0.9270374818719634,0.90906974944102,0.8341836734693877,0.0010290532972535,0.00400493547884162,0.0041937550606833,150,10
1,gini,1,0.8916234790510589,0.9125528458769846,0.6470982142857142,0.00185698909804083,0.0030537569909922,0.00338671378758972,150,30
