shrinkage,interaction.depth,n.minobsinnode,n.trees,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0.15,16,20,150,0.9418659738441169,0.9157177480652442,0.8522066326530612,6.083315403270455e-4,0.00238114004033255,0.00225879226561875
0.16,16,20,150,0.941454256223485,0.9152802438687953,0.8516772959183674,9.699933617662234e-4,0.00262725759950598,0.0020408910620882
0.15,18,20,150,0.9421766437693326,0.9161666396281084,0.8521364795918367,5.580370892177138e-4,0.00361237931259658,0.00224893465338079
0.16,18,20,150,0.9417814907194376,0.9152461563497694,0.8532844387755102,9.934610922412066e-4,0.00217454316995763,0.00170308675934015
0.15,20,20,150,0.9419197301875936,0.9161950511404072,0.8508737244897959,9.54076523620643e-4,0.00200884335340508,0.00214023618868499
0.16,20,20,150,0.9420404374765036,0.9150756830788204,0.8532079081632653,5.627354642936305e-4,0.00196481400515625,0.00131719975534899
0.15,16,20,200,0.9425648732615188,0.916501871904595,0.8535586734693877,5.319952766030048e-4,0.00277927235584305,0.00206392863669706
0.16,16,20,200,0.94211044906022,0.9152347881934108,0.8532461734693878,8.737106427172995e-4,0.00290936320253164,0.0029507288997689
0.15,18,20,200,0.9427376881404173,0.9171723753619684,0.8527040816326531,6.272161761624963e-4,0.00311331190457617,0.00225766657294467
0.16,18,20,200,0.9422899040082018,0.9159109545817584,0.8536288265306122,5.10234361881282e-4,0.00144828043440705,0.00131522977763265
0.15,20,20,200,0.9424367111984142,0.917450790586732,0.8517155612244898,0.00102921048803335,0.00267542704667495,0.00262870012147929
0.16,20,20,200,0.9426083719798506,0.9161382256943738,0.8533290816326531,6.823483352467977e-4,0.00240682666354891,0.00194012817005021
0.15,18,20,200,0.9427737657010676,0.9170644138752392,0.853125,6.086697279981233e-4,0.00278348129176299,0.00208102724477165
0.16,18,20,200,0.9425393819529594,0.9170814703069324,0.8532206632653061,0.00143018814940862,0.00268929128016601,0.00182513877822119
0.17,18,20,200,0.9426163174320548,0.9161268639951772,0.8521811224489796,5.629702508463521e-4,0.00190056424469182,0.00238653804916461
0.15,20,20,200,0.9428601611486538,0.9174905759054062,0.8524298469387755,3.9727578414378175e-4,0.00327850910933446,0.00225372222077089
0.16,20,20,200,0.9427299611420068,0.9167916830515132,0.8530867346938775,3.970291088907584e-4,0.00147692048268252,0.00237755238898094
0.17,20,20,200,0.9418830278189844,0.914916591201412,0.8530676020408163,9.79236795383248e-4,0.00259052826580223,0.00258835483291943
0.15,22,20,200,0.9429673443488094,0.916893960137205,0.8538456632653061,0.00101433854265687,0.0036030032913861,0.00252644814190062
0.16,22,20,200,0.9427678553197668,0.9170246330765784,0.8521045918367347,5.710821643722874e-4,0.00203298890498047,0.00244071552208273
0.17,22,20,200,0.9420903507789508,0.915740482602242,0.8525191326530612,6.598362462732453e-4,0.00215624760150755,0.00189282770447155
0.14,24,20,200,0.9438367381943594,0.9185303825311004,0.8548022959183673,7.052665874062351e-4,0.00203777446738127,0.00225193936416711
0.14,24,40,200,0.9432538658350236,0.9183258343325912,0.8522512755102041,7.30328331705572e-4,0.00193262936375469,0.00128555515343768
0.15,24,20,200,0.9430901554740098,0.91811559237016,0.8523214285714286,0.00103461725814804,0.00311245044403851,0.0023074487252005
0.15,24,40,200,0.9428454698176032,0.917428062506896,0.8523214285714286,7.450570903278901e-4,0.00237317086607061,0.00124124904343907
0.14,26,20,200,0.9436933592452018,0.920036148451385,0.852047193877551,8.156287729473253e-4,0.00228394135479641,0.0017978303883628
0.14,26,40,200,0.9437140976216214,0.9180360425571588,0.8529783163265308,5.266847901799069e-4,0.00287862749965854,0.00118255859100858
0.15,26,20,200,0.943384240846234,0.9185815237375256,0.8531823979591837,8.860805079207515e-4,0.00215329451457519,0.00230480317431316
0.15,26,40,200,0.9427848732713076,0.9178144437384024,0.8521428571428572,8.696317451329294e-4,0.00210953596588734,0.00141647690969301
0.13,16,20,200,0.9427959912707158,0.9161041428567904,0.8538137755102041,9.354701960725976e-4,0.00191493924732658,0.00166651277945155
0.14,16,20,200,0.9429040983502308,0.9172007904257063,0.8528890306122449,8.752167896753612e-4,0.00316139358137152,0.00145336118251195
0.13,18,20,200,0.9438679680109706,0.9187292548843116,0.8531823979591837,9.96730169742561e-4,0.0033861972784876,0.00239204927400742
0.14,18,20,200,0.9430386587967278,0.9171610130170555,0.8527869897959184,8.578459966521845e-4,0.00341994060629756,0.00220424900010566
0.13,20,20,200,0.943936305650484,0.9183997081388656,0.8532461734693878,7.127466947826616e-4,0.00231508110848996,0.00153482493190094
0.14,20,20,200,0.942930049432658,0.9184622039416096,0.8529974489795918,9.594091469992132e-4,0.00227217106491888,0.00181760204081631
0.13,22,20,200,0.9435950486862889,0.9185531178752432,0.8525127551020408,2.9082235203761243e-4,0.00171696501096156,0.00301574555872833
0.14,22,20,200,0.9433009100044228,0.9184735706451068,0.8527487244897959,6.855850027365938e-4,0.00209996082141464,0.00118980218104035
0.11,16,20,200,0.9433214621833004,0.916922350986586,0.8541581632653061,7.0398731725831e-4,0.00291573597306352,0.00171744500550634
0.12,16,20,200,0.9434149565794406,0.9174280780040848,0.8537181122448979,8.867763659564097e-4,0.00275289200340542,0.00143399202784845
0.11,18,20,200,0.943681204644098,0.9194168031504868,0.8534948979591837,6.276467064062502e-4,0.00286600442929406,0.00235630876194572
0.12,18,20,200,0.9438551977091416,0.9185985719363372,0.8541326530612245,0.0011062935392315,0.00341558737005367,0.00111072883065388
0.11,20,20,200,0.9443295525990844,0.919507705138371,0.8539859693877551,7.518549471963144e-4,0.00261287930233445,0.00144940282874535
0.12,20,20,200,0.9444434266220432,0.9187122202455396,0.8540242346938776,7.860683397522312e-4,0.00247363403381181,0.00198645614373565
0.11,22,20,200,0.9440521752575836,0.9193258800153972,0.8531313775510204,6.141858762205669e-4,0.0025558396140647,0.00228386237301402
0.12,22,20,200,0.9439029047790264,0.9201725093432348,0.8539349489795919,6.85485601073613e-4,0.00290933451780267,0.0010644493748537
0.11,14,20,250,0.9437863250846394,0.9183940161506631,0.854094387755102,8.471566392932687e-4,0.0022307811755617854,0.0022891099802127995
0.12,14,20,250,0.9434265117666851,0.9175417138832505,0.8531441326530612,2.637247950829088e-4,0.002435607215158386,0.001510315307628459
0.13,14,20,250,0.9433722101838304,0.9182860722596998,0.853405612244898,7.795277250255146e-4,0.0026586585331916314,0.001425600215099691
0.11,16,20,250,0.9442044026016935,0.9189849652750219,0.8544260204081633,0.0010183146081881205,0.0027626240325340826,0.002355963508915525
0.12,16,20,250,0.9439753560086169,0.9178428570264207,0.8552869897959183,7.624778558319078e-4,0.0033469886788997194,0.00169896211572489
0.13,16,20,250,0.9436573515280178,0.9182349357347169,0.853297193877551,8.41812806257751e-4,0.003645923012460831,0.0027741064068391437
0.11,18,20,250,0.944408580168798,0.9198713566757508,0.8548341836734694,5.815962403669536e-4,0.0022813728577591747,0.0018639477118390084
0.12,18,20,250,0.9442129071800576,0.9189338192257253,0.8551913265306123,0.001013468079660254,0.0029725895917312433,0.0017490949625433858
0.13,18,20,250,0.9437936269819871,0.9188144932955055,0.8540880102040816,9.931778248659046e-4,0.0035059578557712257,8.09346152010023e-4
